868,Mixer Attachments,704,1
869,Slow Cookers,704,1
870,Specialty Electronics,704,1
871,Tea Kettles,704,1
872,Toasters/Toaster Ovens,704,1
873,Vacuum Sealers,704,1
874,Waffle Makers,704,1
875,Woks/Rice Cookers,704,1
881,Barware,705,1
882,Buffet/Chafing Dishes,705,1
883,Cheese Serving,705,1
884,Fondues/Accessories,705,1
885,Wine Tools,705,1
891,Cleaning Tools,706,1
892,Kitchen Organizers,706,1
893,Pot Racks,706,1
900,Mattresses,,1
901,Bedding Accessories,,1
902,Furniture,,1
903,Tables-Lamps-Rugs,,1
904,Sleeper Sofas,,1
905,Recliners,,1
906,Lift Chairs,,1
907,Shiatsu Massage,,1
908,Theater Seating,,1
910,Recliners & Chairs,,1
915,Shop By Size,900,1
916,California King,915,1
917,King,915,1
918,Queen,915,1
919,Full,915,1
920,Twin Extra Long,915,1
921,Twin,915,1
922,Shop By Brand,900,1
923,Spring Air,922,1
924,Beautyrest,922,1
925,Restonic,922,1
926,Sealy,922,1
927,Sealy Posturepedic,922,1
928,Sealy Posturepedic Gel,922,1
929,Optimum Sealy Posturepedic,922,1
930,TEMPUR-PEDIC,922,1
931,Shop By Comfort,900,1
932,Ultra Plush,931,1
933,Plush,931,1
934,Medium,931,1
935,Firm,931,1
936,Extra Firm,931,1
938,Shop By Type,900,1
939,Innerspring,938,1
940,Latex,938,1
941,Memory Foam,938,1
942,Gel Infused Foam,938,1
943,Digital Adjustable Comfort,938,1
944,Bed Frames,901,2
945,Mattress Pads,901,1
950,Sheets,901,1
951,Pillows,901,1
960,Living Room Packages,902,1
961,Sofas,902,3
962,Sofa Sleepers,902,3
963,Love Seats,902,3
964,Chairs & Ottomans,902,2
965,Tables,903,3
966,Lamps,903,1
967,Rugs,903,1
968,Reclining Chairs,905,2
969,Shiatsu Massage,907,1
970,Lift Chairs,906,2
971,Theater Sectionals,908,1
972,Sleeper Sofas,904,6
